COMMUNE,WILAYA,LATITUDE,LONGITUDE
GUELAAT BOUSBAA,GUELMA,36.549069,7.4894268
BATNA,BATNA,35.5548235,6.1768526
JIJEL,JIJEL,36.8167305,5.771494
GUELMA,GUELMA,36.465084,7.430647
ORAN,ORAN,35.7044415,-0.6502981
MILIANA,AIN-DEFLA,36.3047698,2.226821
BAGHLIA,BOUMERDES,36.7959552,3.8675211
OUM DROU,CHLEF,36.1966757,1.3913824
BORDJ EL KIFFAN,ALGER,36.747273,3.1908953
HASSI BEN OKBA,ORAN,35.726419,-0.4671047
AIN KERCHA,OUM EL-BOUAGHI,35.9233662,6.7022898
BAB EL ASSA,TLEMCEN,34.9661057,-2.0317999
AIN BABOUCHE,OUM EL-BOUAGHI,35.9806479,7.1591673
REGHAIA,ALGER,36.7387813,3.3421179
EL BAYADH,EL-BAYADH,33.684319,1.0182453
EL KALA,EL-TARF,36.8961359,8.4430673
SENDJAS,CHLEF,36.0396655,1.4552069
OUED EL ANEB,ANNABA,36.9345945,7.5212403
OUED ESSALEM,RELIZANE,35.5798979,0.9252497
ES SENIA,ORAN,35.6500999,-0.6241804
SIDI LAHCENE,SIDI-BELABBES,35.0591,-0.6223
BEN FREHA,ORAN,35.6937209,-0.4186546
BIR MOURAD RAIS,ALGER,36.7393938,3.0500748
SOUK-AHRAS,SOUK-AHRAS,36.282865,7.9537896
AZEFFOUN,TIZI-OUZOU,36.8930725,4.4203917
BOUROUBA,ALGER,36.7138232,3.1125789
SETIF,SETIF,36.1893494,5.4046876
RAIS HAMIDOU,ALGER,36.8174128,3.0114701
BIR KHADEM,ALGER,36.6837401,3.0651964
KSAR EL BOUKHARI,MEDEA,35.8758381,2.7484133
SEDRATA,SOUK-AHRAS,36.1356466,7.53412
EL AFFROUN,BLIDA,36.46975,2.6267421
KSAR EL ABTAL,SETIF,35.9737047,5.2890497
BISKRA,BISKRA,34.8508816,5.729074
SAOULA,ALGER,36.7027016,3.0238994
OUARGLA,OUARGLA,31.9444998,5.3217813
AIN OULMANE,SETIF,35.9231689,5.2959232
BENI ABBES,BÉNI ABBÈS,30.1317426,-2.169031
AIN KHADRA,MSILA,35.5452659,4.9354504
BAGHAI,KHENCHELA,35.5232847,7.1140725
EL HADJAR,ANNABA,36.77505,7.6770911
OUED FODDA,CHLEF,36.185966,1.5347489
EULMA,ANNABA,36.7397345,7.4629454
TOLGA,BISKRA,34.73212,5.3830752
GHARDAIA,GHARDAIA,32.485855,3.677104
HASSI MESSAOUD,OUARGLA,31.6957444,6.0604297
BECHAR,BECHAR,31.616312,-2.21841
FERDJIOUA,MILA,36.4073812,5.9419603
MEURAD,TIPAZA,36.4763774,2.4272954
AIN KERMES,TIARET,34.9288006,1.07039
BIR EL DJIR,ORAN,35.719874,-0.5675118
BARAKI,ALGER,36.669792,3.1001751
SIDI BEN ADDA,AIN-TEMOUCHENT,35.3042768,-1.1815248
SIRAT,MOSTAGANEM,35.731748,0.172439
EL AMIRIA,OUM EL-BOUAGHI,36.0718842,6.905992
ALGER,ALGER,36.7729333,3.0588445
EMDJEZ EDCHICH,SKIKDA,36.7051396,6.8043312
TOUGGOURT,TOUGGOURT,33.1048574,6.0667276
SAIDA,SAIDA,34.8302067,0.1502692
DJAMAA,EL-OUED,36.7841312,3.0595361
RELIZANE,RELIZANE,35.7381193,0.5547673
TIMGAD,BATNA,35.4836328,6.4668121
OULED BEN ABDELKADER,CHLEF,36.0238897,1.2761855
BENI MERED,BLIDA,36.523526,2.8616102
EL ATTAF,AIN-DEFLA,36.2244328,1.6725159
BOGHAR,MEDEA,35.910616,2.7173772
ILOULA OUMALOU,TIZI-OUZOU,36.5649995,4.4487366
EL AZIZIA,MEDEA,36.316014,3.4915483
OUED SEGUEN,MILA,36.1811194,6.3883093
TALA HAMZA,BEJAIA,36.7029253,5.0394177
LAGHOUAT,LAGHOUAT,33.8063451,2.8802635
AIN LALOUI,BOUIRA,36.3208019,3.7485441
OUED TAGA,BATNA,35.4323373,6.4146079
EL MATMAR,RELIZANE,35.7309261,0.4611475
HAMMAM BOUGHRARA,TLEMCEN,34.8936813,-1.6382574
BOUDOUAOU,BOUMERDES,36.727203,3.408382
BOUATI MAHMOUD,GUELMA,36.6088533,7.3480243
TKOUT,BATNA,35.1403816,6.3085503
CORSO,BOUMERDES,36.7547423,3.4433833
BOUCHRAHIL,MEDEA,36.274231,3.19346
EL BOUNI,ANNABA,36.8548275,7.7413708
BEB EZZOUAR,ALGER,36.7249185,3.199012
GUERROUAOU,BLIDA,36.5264595,2.886115
TAZOULT,BATNA,35.4860091,6.2536097
OUED KORICHE,ALGER,36.7857731,3.0438543
STAOUELI,ALGER,36.7532755,2.8881822
THENIET EL HAD,TISSEMSILT,35.8739691,2.0240828
LARBAA,BLIDA,36.5650816,3.1540861
OUED SLY,CHLEF,36.101565,1.1995738
EL AOUINET,TEBESSA,35.8628373,7.8888473
DJIDIOUIA,RELIZANE,35.9336653,0.8266434
ICHEMOUL,BATNA,35.3095106,6.5100105
AIN KECHRA,SKIKDA,36.801318,6.4610872
KSAR CHELLALA,TIARET,35.2143453,2.3129403
BENI OULBANE,SKIKDA,36.6439118,6.6281274
CHETOUANE,TLEMCEN,34.9207591,-1.2910642
HAMMA BOUZIANE,CONSTANTINE,36.4248981,6.6008903
YELLEL,RELIZANE,35.7217352,0.3571077
MENACEUR,TIPAZA,36.5000414,2.2236309
AIN TINE,MILA,36.4155335,6.3282212
BIR EL ARCH,SETIF,36.1303925,5.8392064
CHAHNA,JIJEL,36.6586669,5.9442005
EL OUED,EL-OUED,33.3611531,6.8606693
CASBAH,ALGER,36.7844706,3.0578458
BOUZGUEN,TIZI-OUZOU,36.6179239,4.4761469
MEZLOUG,SETIF,36.1074201,5.3371932
FRIKAT,TIZI-OUZOU,36.5133532,3.8856598
BENI OUARTILANE,SETIF,36.4422585,4.8557425
HOUARI BOUMEDIENE,GUELMA,36.4155048,7.2870821
BOUKADIR,CHLEF,36.0650746,1.1278681
AIN TURK,BOUIRA,36.3932061,3.8246043
ES SEBT,SKIKDA,36.6195945,7.0645888
CHLEF,CHLEF,36.164592,1.331499
AOKAS,BEJAIA,36.6376518,5.2453122
AIN ARNAT,SETIF,36.1849367,5.3144869
MOHAMMADIA,MASCARA,35.5892003,0.0670398
TIGZIRT,TIZI-OUZOU,36.8926614,4.126179
AIN EL ASSEL,EL-TARF,36.7865309,8.3825736
CHAABET EL HAM,AIN-TEMOUCHENT,35.3367018,-1.1020618
EMIR ABDELKADER,JIJEL,36.7546904,5.8443228
KENADSA,BECHAR,31.5545321,-2.432661
DAR EL BEIDA,ALGER,36.7149768,3.2094611
BENI BACHIR,SKIKDA,36.774669,6.9376557
BEIDHA BORDJ,SETIF,35.837695,5.6318487
CHBAITA MOKHTAR,EL-TARF,36.755843,7.7407291
AIN SEFRA,NAAMA,32.7568151,-0.577859
SIDI LAKHDAR,AIN-DEFLA,36.2656357,2.1617628
SIDI AISSA,MSILA,35.8838359,3.7803723
BENI SLIMANE,MEDEA,36.230723,3.3104153
SIDI DAOUD,BOUMERDES,36.8567267,3.8581586
OULED YAICH,BLIDA,36.4970451,2.8610493
TINDOUF,TINDOUF,27.6718402,-8.1397297
EL KARIMIA,CHLEF,36.1121742,1.5534446
AMALOU,BEJAIA,36.4774607,4.63266
LAKHDARIA,BOUIRA,36.5644827,3.5967523
ABOU EL HASSEN,CHLEF,36.4145938,1.1938241
EL MADANIA,ALGER,36.7420067,3.0665715
BOUIRA,BOUIRA,36.3739012,3.9007007
LABIODH MEDJADJA,CHLEF,36.2507309,1.3919112
EL GUETTAR,RELIZANE,36.0879043,0.8168474
TAHER,JIJEL,36.7712912,5.897589
OULED YAICH,RELIZANE,35.8266939,0.9631855
DJELIDA,AIN-DEFLA,36.2027341,2.0795157
BENI DERGOUN,RELIZANE,35.7933416,0.801238
NEDROMA,TLEMCEN,35.0107602,-1.74805
MAZOUNA,RELIZANE,36.1262742,0.8801926
TIMIZART,TIZI-OUZOU,36.7978208,4.2461875
MCHEDALLAH,BOUIRA,36.361266,4.2707836
EL BIAR,ALGER,36.7688818,3.030651
BENI MOUHLI,SETIF,36.5132135,4.8940032
KAIS,KHENCHELA,35.4956337,6.9235555
AIN SOLTANE,AIN-DEFLA,36.2483226,2.2973227
DOUAOUDA,TIPAZA,36.6737396,2.7900902
NEZLA,TOUGGOURT,33.0960188,6.0630525
BESBES,EL-TARF,36.7008806,7.8454765
CHERAGA,ALGER,36.7669269,2.9602571
EL IDRISSIA,DJELFA,34.4486677,2.5312873
ADRAR,ADRAR,27.873203,-0.2876021
METLILI,GHARDAIA,32.2605169,3.6259116
CHETTIA,CHLEF,36.1929178,1.2491044
SIGUS,OUM EL-BOUAGHI,36.1239401,6.7854947
EL GHOMRI,MASCARA,35.6883106,0.2069806
DJEBEL MESSAAD,MSILA,34.9930304,4.0907504
BAYADHA,EL-OUED,33.3278311,6.8885733
SI MUSTAPHA,BOUMERDES,36.7336375,3.6253479
COLLO,SKIKDA,37.0065806,6.5690345
AIN EL MELH,MSILA,34.8414309,4.1731521
CHORFA,BOUIRA,36.3596242,4.3236528
AIT BOUADOU,TIZI-OUZOU,36.5032098,4.0612545
OULED SLAMA,BLIDA,36.5534582,3.1153628
SOUK EL TENINE,TIZI-OUZOU,36.5950832,4.007301
GHASSOUL,EL-BAYADH,33.4924106,1.2592332
DIDOUCHE MOURAD,CONSTANTINE,36.4446761,6.6330811
AIN BENIAN,ALGER,36.8033456,2.9216788
HAD SAHARY,DJELFA,35.3506602,3.3640573
REGUIBA,EL-OUED,33.5653009,6.7114196
OULED SABOR,SETIF,36.1819425,5.5403857
BOUGTOUB,EL-BAYADH,34.0405202,0.087067
AKBOU,BEJAIA,36.4597538,4.5289243
HASSI RMEL,LAGHOUAT,32.9458855,3.273666
EL MOURADIA,ALGER,36.7473392,3.0506705
EL KSEUR,BEJAIA,36.6794351,4.8523757
DRARIA,ALGER,36.7137875,3.0015961
SIDI MHAMED,ALGER,36.7584001,3.0627161
BOUDJELLIL,BEJAIA,36.3498654,4.4141916
DAR CHIOUKH,DJELFA,34.8972924,3.4897249
BETHIOUA,ORAN,35.805837,-0.267936
AIN BESSAM,BOUIRA,36.2929113,3.6735417
ZIGHOUD YOUCEF,CONSTANTINE,36.5292375,6.7336958
GUELLAL,SETIF,36.0339934,5.3387839
ATH MANSOUR,BOUIRA,36.3278259,4.3172601
ROUACHED,MILA,36.4581588,6.0391589
BENI AMRANE,BOUMERDES,36.6678481,3.5918611
SOUR EL GHOZLANE,BOUIRA,36.147376,3.691797
SALAH BEY,SETIF,35.8520786,5.2904883
SABRA,TLEMCEN,34.8260248,-1.530335
HASNAOUA,BORDJ-BOU-ARRERIDJ,36.160523,4.825215
MESSAAD,DJELFA,34.1540811,3.492231
BOUCAID,TISSEMSILT,35.8902865,1.6184584
DRAA EL MIZAN,TIZI-OUZOU,36.5350648,3.8380358
OULED FARES,CHLEF,36.2303457,1.2084133
ZAHANA,MASCARA,35.517616,-0.410225
DAMOUS,TIPAZA,36.5487437,1.7055525
EL EULMA,SETIF,36.1529057,5.6911588
EL GAADA,MASCARA,35.4266234,-0.3129183
SIDI KHELIFA,MILA,36.3635685,6.261707
OULED BRAHIM,MEDEA,36.2437886,2.9350635
LARBATACHE,BOUMERDES,36.6379144,3.3710566
MILA,MILA,36.451941,6.262331
AIN FERAH,MASCARA,35.382409,0.7830416
AIN-TEMOUCHENT,AIN-TEMOUCHENT,35.3048421,-1.1457771
AIN FAKROUN,OUM EL-BOUAGHI,35.9420187,6.8728223
STIDIA,MOSTAGANEM,35.8329584,-0.0035725
STITTEN,EL-BAYADH,33.7563995,1.2241683
SIDI MOUSSA,ALGER,36.6047961,3.088782
CHELGHOUM LAID,MILA,36.1605629,6.1673286
AIN YAGOUT,BATNA,35.7866324,6.418212
BOUFATIS,ORAN,35.6791406,-0.4117684
OULED BOUGHALEM,MOSTAGANEM,36.2918819,0.6967613
SIDI EMBAREK,BORDJ-BOU-ARRERIDJ,36.1181276,4.9041488
HAMADIA,TIARET,35.4584077,1.8723935
SIDI AKKACHA,CHLEF,36.4649578,1.3052519
HENAYA,TLEMCEN,34.9203986,-1.3666038
RAMDANE DJAMEL,SKIKDA,36.7558331,6.9259068
SIDI KADA,MASCARA,35.328545,0.3394322
MANSOURAH,TLEMCEN,34.8733172,-1.3302647
TIZI GHENIF,TIZI-OUZOU,36.5872274,3.7742759
CHIFFA,BLIDA,36.4622287,2.7409097
BOUNOURA,GHARDAIA,32.4856037,3.7049786
TOUDJA,BEJAIA,36.7525317,4.8971215
AIN CHERCHAR,SKIKDA,36.732542,7.2218373
LES EUCALYPTUS,ALGER,36.6567143,3.1472616
KERKERA,SKIKDA,36.9304439,6.5842202
BEN BADIS,CONSTANTINE,36.3166261,6.8349785
BOUTLELIS,ORAN,35.5729399,-0.8998452
AFIR,BOUMERDES,36.8423443,3.9871505
AIN TEDLES,MOSTAGANEM,35.9990969,0.294879
DREAN,EL-TARF,36.6851201,7.7470888
AIT SMAIL,BEJAIA,36.5536461,5.2297301
SOUAHLIA,TLEMCEN,35.0269936,-1.8970124
TEXENNA,JIJEL,36.6605708,5.7909778
ZMALET EMIR ABDELKADER,TIARET,34.894606,2.3099441
BOUMAHRA AHMED,GUELMA,36.4604068,7.5143095
MAHDIA,TIARET,35.4569852,1.741478
TIMIMOUN,TIMIMOUN,29.2605117,0.2285923
ROUIBA,ALGER,36.7364237,3.2826417
GHRISS,MASCARA,35.2481745,0.1604511
MEDIOUNA,RELIZANE,36.1246927,0.7483582
AZZABA,SKIKDA,36.7388133,7.1062378
BORDJ EMIR KHALED,AIN-DEFLA,36.1200332,2.2045088
AIN MERANE,CHLEF,36.175626,0.9723668
ENSIGHA,KHENCHELA,35.3960059,7.1427291
HAMMA,SETIF,35.6845243,5.3862787
HADJADJ,MOSTAGANEM,36.0953239,0.3256437
SIDI MEZGHICHE,SKIKDA,36.7082508,6.7042844
GDYEL,ORAN,35.7824852,-0.4242038
TAMACINE,TOUGGOURT,33.0104035,6.012687
BOUTALEB,SETIF,35.6599645,5.3215529
TEBESBEST,TOUGGOURT,33.115308,6.0818339
OULED SAID,TIMIMOUN,29.4149964,0.2444383
MEDRISSA,TIARET,34.8924859,1.2458048
BAINS ROMAINS,ALGER,36.8137612,2.9712554
TIZI RACHED,TIZI-OUZOU,36.6789662,4.2086164
BELKHEIR,GUELMA,36.4634182,7.4763788
OUADHIA,TIZI-OUZOU,36.555223,4.0867217
OUAMRI,MEDEA,36.2317529,2.56547
TASSALA EL MERDJA,ALGER,36.6272776,2.9448383
HAMADI KROUMA,SKIKDA,36.8441177,6.929106
AIN ABID,CONSTANTINE,36.2489875,6.9419888
OUED EL MA,BATNA,35.6448731,5.9953423
TADJENA,CHLEF,36.3347,1.117922
SEDRAIA,MEDEA,36.2345179,3.520256
AIN BOUZIANE,SKIKDA,36.6043041,6.7323529
GUEMAR,EL-OUED,33.4916197,6.7977914
ABADLA,BECHAR,31.0274839,-2.7104418
DJEMAA BENI HABIBI,JIJEL,36.8010447,6.0932644
ABI YOUCEF,TIZI-OUZOU,36.5384746,4.3438612
ACHAACHA,MOSTAGANEM,36.2445994,0.6355803
AZAZGA,TIZI-OUZOU,36.744738,4.3716399
INZEGMIR,ADRAR,27.046289,-0.0918987
EL FEIDH,BISKRA,34.5005929,6.469635
MEROUANA,BATNA,35.6320555,5.913138
BENI OUARSOUS,TLEMCEN,35.091454,-1.5830375
EL ACHOUR,ALGER,36.7337798,2.9910761
AIN EL HADID,TIARET,35.0554796,0.8856345
MEFTAH,BLIDA,36.620033,3.2229744
TAOURA,SOUK-AHRAS,36.167061,8.042039
BOUTELDJA,EL-TARF,36.7855823,8.1990268
AIN KERMA,ORAN,35.6434497,-0.9765427
MERSA BEN MHIDI,TLEMCEN,35.0817992,-2.2043971
TAMALAHT,TISSEMSILT,35.7999236,1.6058392
SAYADA,MOSTAGANEM,35.9334015,0.13593
BIR MOKADEM,TEBESSA,35.3704032,7.8085014
SEBAINE,TIARET,35.4589895,1.608022
HASSI BOUNIF,ORAN,35.6912811,-0.4979622
AIN TOUILA,KHENCHELA,35.4793115,7.3748585
SIDI AMAR,TIPAZA,36.5424695,2.3059586
BENI RACHED,CHLEF,36.2927757,1.5307566
BOUZAREAH,ALGER,36.7903098,3.0172742
BOUGARA,BLIDA,36.5448652,3.0869346
DOUCEN,OULED DJELLAL,34.5975449,5.1029298
MERS EL KEBIR,ORAN,35.7277218,-0.7085452
OULED DJELLAL,OULED DJELLAL,34.4254103,5.0644342
AIN TOLBA,AIN-TEMOUCHENT,35.2416188,-1.2485001
EL MARSA,ALGER,36.8091281,3.2546039
EL ANCOR,ORAN,35.6848518,-0.8699583
IFERHOUNENE,TIZI-OUZOU,36.5209675,4.3695222
GHAZAOUET,TLEMCEN,35.093863,-1.86322
TIMIAOUINE,BORDJ BADJI MOKHTAR,20.4339578,1.8101265
TAOUGRITE,CHLEF,36.2472325,0.9222293
AOMAR,BOUIRA,36.492393,3.7711939
BERRIANE,GHARDAIA,32.8256322,3.7639006
HAMMAM DHALAA,MSILA,35.9281238,4.3742303
KOLEA,TIPAZA,36.6373657,2.769126
ZITOUNA,SKIKDA,36.9888886,6.4592299
ISSER,BOUMERDES,36.6935557,3.6915459
SIDI AOUN,EL-OUED,33.8391534,6.8108559
MOUZAIA,BLIDA,36.4674416,2.6879953
BOUGUIRAT,MOSTAGANEM,35.7502319,0.2566146
SOUAGUI,MEDEA,36.1255019,3.265101
RAS EL AIOUN,BATNA,35.6758524,5.6515672
TAMANRASSET,TAMANRASSET,22.7859372,5.5291395
IFLISSEN,TIZI-OUZOU,36.8722166,4.2221877
BOUFARIK,BLIDA,36.5755523,2.9128963
AIN TAGHROUT,BORDJ-BOU-ARRERIDJ,36.1445264,5.1132662
EL ANSEUR,BORDJ-BOU-ARRERIDJ,36.0404413,4.8186386
BOU ISMAIL,TIPAZA,36.642758,2.6899362
OUACIF,TIZI-OUZOU,36.523854,4.2049176
EL HARROUCH,SKIKDA,36.6514052,6.8360907
YOUB,SAIDA,34.921672,-0.208054
BOUMERDES,BOUMERDES,36.7590403,3.473102
BOUSSEMGHOUN,EL-BAYADH,32.8081869,0.0635802
MIHOUB,MEDEA,36.3863727,3.4540976
SOUIDANIA,ALGER,36.7085304,2.9116721
HYDRA,ALGER,36.7474259,3.0401832
MARSAT EL HADJADJ,ORAN,35.7948853,-0.1652125
AIN AZAL,SETIF,35.8178542,5.5111895
EL BRAYA,ORAN,35.6291461,-0.5191909
KSOUR,BORDJ-BOU-ARRERIDJ,35.9853662,4.565032
AIN FARES,MASCARA,35.4771078,0.245587
BOUHANIFIA,MASCARA,35.3151029,-0.0486241
HAMMAM BOUHADJAR,AIN-TEMOUCHENT,35.3790296,-0.9711585
BORDJ MENAIEL,BOUMERDES,36.7432364,3.7175665
DAHOUARA,GUELMA,36.3144516,7.7003021
BAB EL OUED,ALGER,36.7907677,3.0530812
TALA IFACENE,SETIF,36.4543155,5.1174953
CHIHANI,EL-TARF,36.6473548,7.7780261
BENI MAOUCHE,BEJAIA,36.4878512,4.787552
AIN MAKHLOUF,GUELMA,36.2427266,7.2491244
AIN EL HADJAR,BOUIRA,36.3402284,3.8095209
KADIRIA,BOUIRA,36.5354385,3.6788401
AIT OUMALOU,TIZI-OUZOU,36.6551697,4.2284389
AIN TOUTA,BATNA,35.3752089,5.894213
KHEMISTI,TIPAZA,36.625387,2.6797524
SIDI BOUSSAID,MASCARA,35.2733671,0.2986103
BENI SNOUS,TLEMCEN,34.6246281,-1.5551957
BECHLOUL,BOUIRA,36.312195,4.0749566
OULED RABAH,JIJEL,36.6216559,6.17312
GUELTAT SIDI SAAD,LAGHOUAT,34.2701253,1.8420835
AGHRIB,TIZI-OUZOU,36.8045313,4.3230947
EL HASSI,BATNA,35.7804723,5.9503611
KHRAISSIA,ALGER,36.6771908,2.9823355
ZENATA,TLEMCEN,34.9894903,-1.4630565
MAOUSSA,MASCARA,35.3782884,0.2457041
SIDI OKBA,BISKRA,34.7497613,5.9107849
OUZERA,MEDEA,36.2526315,2.8466043
MEDJEDEL,MSILA,35.1467087,3.6793899
EL KEURT,MASCARA,35.3809268,0.0921516
CHEKFA,JIJEL,36.7712723,5.9612456
SIDI NAAMANE,MEDEA,36.2147224,3.1265784
FOUKA,TIPAZA,36.6615612,2.7421167
AIT AISSA MIMOUN,TIZI-OUZOU,36.7506544,4.1103247
SIDI GHILES,TIPAZA,36.5833323,2.1225093
EL ACHIR,BORDJ-BOU-ARRERIDJ,36.0632388,4.6294961
MOHAMMADIA,ALGER,36.7288713,3.1469178
SOUMAA,BLIDA,36.5184909,2.9084853
BOGHNI,TIZI-OUZOU,36.5407471,3.9571285
AMMI MOUSSA,RELIZANE,35.8702048,1.1081265
EL HARRACH,ALGER,36.7207974,3.1373893
KHEMIS MILIANA,AIN-DEFLA,36.2560052,2.2206013
DJENDEL,AIN-DEFLA,36.2192263,2.4153796
HAMMAM NBAIL,GUELMA,36.3255156,7.640326
AIN DEHEB,TIARET,34.8442761,1.5482536
BENI MESSOUS,ALGER,36.7800963,2.974557
BARBOUCHE,AIN-DEFLA,36.1070568,2.4834843
CHEMINI,BEJAIA,36.5944018,4.6210413
BORDJ OMAR DRISS,ILLIZI,28.1210578,6.820793
BARBACHA,BEJAIA,36.5734726,4.9693825
ZIAMA MANSOURIA,JIJEL,36.6721506,5.4808312
