COMMUNE,WILAYA,LATITUDE,LONGITUDE
MOCTADOUZ,MASCARA,,
MERINE,SIDI-BELABBES,,
MOULAY SLISSEN,SIDI-BELABBES,,
IN SALAH,TAMANRASSET,,
SEHALA THAOURA,SIDI-BELABBES,,
SIDI BRAHIM,SIDI-BELABBES,,
EL HADJIRA,TOUGGOURT,,
EL MGHAIR,EL M'GHAÏER,,
BIR EL OUIDEN,SKIKDA,,
MOSTEFA BEN BRAHIM,SIDI-BELABBES,,
NGOUSSA,OUARGLA,,
ZAOUIA EL ABIDIA,OUARGLA,,
OUM TIOUR,EL-OUED,,
DAR YAGHMOURASSENE,TLEMCEN,,
HASSI DHELAA,LAGHOUAT,,
AIN FEKKA,DJELFA,,
AIN EL BERD,SIDI-BELABBES,,
TENDLA,EL-OUED,,
BEDRABINE EL MOKRANI,SIDI-BELABBES,,
EL KHEITHER,EL-BAYADH,,
HASSI LEFHAL,EL MENIAÂ,,
TABIA,SIDI-BELABBES,,
DHAYA,SIDI-BELABBES,,
BELAAS,CHLEF,,
CHETOUANE BELAILA,SIDI-BELABBES,,
SIDI LAADJEL,DJELFA,,
EL MSAID,AIN-TEMOUCHENT,,
SOUK THLATA,TLEMCEN,,
BENI MELIKECH,BEJAIA,,
LEMCEN,BATNA,,
FOUGGARAT EZ ZOUAIA,IN SALAH,,
AIN KADA,SIDI-BELABBES,,
EL HAMRI,RELIZANE,,
THENIET EL ANSEUR,BORDJ-BOU-ARRERIDJ,,
REHIA,OUM EL-BOUAGHI,,
SIDI MHAMED BENAOUDA,RELIZANE,,
MEZRENNA,MEDEA,,
MERDJET SIDI ABED,RELIZANE,,
THLIDJENE,TEBESSA,,
IN GHAR,TAMANRASSET,,
AIN THRID,SIDI-BELABBES,,
BIR EL HMAM,SIDI-BELABBES,,
HASSI EL GARAA,EL MENIAÂ,,
SIDI BEN YABKA,ORAN,,
CHERAGA,MILA,,
AKABILI,ADRAR,,
BORDJ TAHER,JIJEL,,
TAFISSOUR,SIDI-BELABBES,,
TAOUDMOUT,SIDI-BELABBES,,
SIDI MHAMED,MSILA,,
SIDI CHAIB,SIDI-BELABBES,,
BORDJ EL HAOUES,DJANET,,
SOUMAA,MSILA,,
AIN TINDAMINE,SIDI-BELABBES,,
GHAROUINE,TIMIMOUN,,
OUED KEBERIT,TEBESSA,,
EL ALLIA,TOUGGOURT,,
IN GUEZZAM,TAMANRASSET,,
MNAGUER,TOUGGOURT,,
MAKDA,MASCARA,,
MDOUKAL,BATNA,,
ZAKKAR,DJELFA,,
HASSI DAHO,SIDI-BELABBES,,
GOURIGUEUR,TEBESSA,,
RAGGOUBA,SOUK-AHRAS,,
TIGHARGHAR,BATNA,,
GUENZET TASSAMEURT,SETIF,,
BOUDJEBAA EL BORDJ,SIDI-BELABBES,,
BORDJ EL HAOUES,ILLIZI,,
EL HAOUAITA,LAGHOUAT,,
BOUMAGUER,BATNA,,
AIN ADDEN,SIDI-BELABBES,,
BENI ABBES,BECHAR,,
MRARA,EL-OUED,,
MAKEDRA,SIDI-BELABBES,,
OUED SBAA,SIDI-BELABBES,,
SIDI ABDELDJABAR,MASCARA,,
QUILLEN,SOUK-AHRAS,,
OULDJA BOULBELLOUT,SKIKDA,,
IGLI,BECHAR,,
OULED SIDI BRAHIM,BOUIRA,,
KERZAZ,BECHAR,,
LES EUCALYPTUS,ORAN,,
SIDI KHALED,BISKRA,,
FOUGGARAT EZ ZOUAIA,TAMANRASSET,,
