COMMUNE,WILAYA
GUELMA,GUELMA
ORAN,ORAN
MILIANA,AIN-DEFLA
BAGHLIA,BOUMERDES
OUM DROU,CHLEF
BEN KHELIL,BLIDA
BORDJ EL KIFFAN,ALGER
HASSI BEN OKBA,ORAN
AIN KERCHA,OUM EL-BOUAGHI
BAB EL ASSA,TLEMCEN
AIN BABOUCHE,OUM EL-BOUAGHI
REGHAIA,ALGER
EL BAYADH,EL-BAYADH
EL HMADNA,RELIZANE
EL KALA,EL-TARF
SENDJAS,CHLEF
OUED EL ANEB,ANNABA
OUED ESSALEM,RELIZANE
ES SENIA,ORAN
BEN FREHA,ORAN
BIR MOURAD RAIS,ALGER
SOUK-AHRAS,SOUK-AHRAS
AZEFFOUN,TIZI-OUZOU
BOUROUBA,ALGER
AIN OUESSARA,DJELFA
SETIF,SETIF
RAIS HAMIDOU,ALGER
BIR KHADEM,ALGER
KSAR EL BOUKHARI,MEDEA
SEDRATA,SOUK-AHRAS
EL AFFROUN,BLIDA
SFISEF,SIDI-BELABBES
KSAR EL ABTAL,SETIF
BISKRA,BISKRA
BOURACHED,CHLEF
TEGHALIMET,SIDI-BELABBES
SAOULA,ALGER
OUARGLA,OUARGLA
AIN OULMANE,SETIF
BENI ABBES,BÉNI ABBÈS
AIN KHADRA,MSILA
BAGHAI,KHENCHELA
EL HADJAR,ANNABA
OUED FODDA,CHLEF
EULMA,ANNABA
TOLGA,BISKRA
OUED TAGHIA,MASCARA
GHARDAIA,GHARDAIA
HASSI MESSAOUD,OUARGLA
BECHAR,BECHAR
FERDJIOUA,MILA
MEURAD,TIPAZA
AIN KERMES,TIARET
BIR EL DJIR,ORAN
BARAKI,ALGER
SIDI BEN ADDA,AIN-TEMOUCHENT
SIRAT,MOSTAGANEM
EL AMIRIA,OUM EL-BOUAGHI
ALGER,ALGER
EMDJEZ EDCHICH,SKIKDA
TOUGGOURT,TOUGGOURT
SIDI AMER,ANNABA
SAIDA,SAIDA
DJAMAA,EL-OUED
RELIZANE,RELIZANE
TIMGAD,BATNA
OULED BEN ABDELKADER,CHLEF
BENI MERED,BLIDA
EL ATTAF,AIN-DEFLA
BOGHAR,MEDEA
ILOULA OUMALOU,TIZI-OUZOU
EL AZIZIA,MEDEA
OUED SEGUEN,MILA
HASSI FDOUL,DJELFA
TALA HAMZA,BEJAIA
LAGHOUAT,LAGHOUAT
AIN LALOUI,BOUIRA
TERRAI BAINEM,MILA
OUED TAGA,BATNA
EL MATMAR,RELIZANE
HAMMAM BOUGHRARA,TLEMCEN
BOUDOUAOU,BOUMERDES
BOUATI MAHMOUD,GUELMA
TKOUT,BATNA
CORSO,BOUMERDES
BOUCHRAHIL,MEDEA
EL BOUNI,ANNABA
BEB EZZOUAR,ALGER
GUERROUAOU,BLIDA
TAZOULT,BATNA
EL ABBADIA,AIN-DEFLA
TELAGH,SIDI-BELABBES
OUED KORICHE,ALGER
STAOUELI,ALGER
THENIET EL HAD,TISSEMSILT
LARBAA,BLIDA
OUED SLY,CHLEF
EL AOUINET,TEBESSA
DJIDIOUIA,RELIZANE
ICHEMOUL,BATNA
AIN KECHRA,SKIKDA
KSAR CHELLALA,TIARET
BENI OULBANE,SKIKDA
CHETOUANE,TLEMCEN
HAMMA BOUZIANE,CONSTANTINE
YELLEL,RELIZANE
BEN BADIS,SIDI-BELABBES
MENACEUR,TIPAZA
EL HACHEM,MASCARA
AIN TINE,MILA
OULED MAALAH,MOSTAGANEM
BIR EL ARCH,SETIF
CHAHNA,JIJEL
EL OUED,EL-OUED
CASBAH,ALGER
BOUZGUEN,TIZI-OUZOU
MEZLOUG,SETIF
CHEBBALA MILAT,JIJEL
FRIKAT,TIZI-OUZOU
BENI OUARTILANE,SETIF
HOUARI BOUMEDIENE,GUELMA
BOUKADIR,CHLEF
AIN TURK,BOUIRA
ES SEBT,SKIKDA
CHLEF,CHLEF
AOKAS,BEJAIA
AIN ARNAT,SETIF
MOHAMMADIA,MASCARA
TIGZIRT,TIZI-OUZOU
AIN EL ASSEL,EL-TARF
CHAABET EL HAM,AIN-TEMOUCHENT
EMIR ABDELKADER,JIJEL
KENADSA,BECHAR
DAR EL BEIDA,ALGER
BENI BACHIR,SKIKDA
BEIDHA BORDJ,SETIF
CHBAITA MOKHTAR,EL-TARF
AIN SEFRA,NAAMA
SIDI LAKHDAR,AIN-DEFLA
SIDI AISSA,MSILA
BENI SLIMANE,MEDEA
SIDI DAOUD,BOUMERDES
OULED YAICH,BLIDA
TINDOUF,TINDOUF
EL KARIMIA,CHLEF
AMALOU,BEJAIA
LAKHDARIA,BOUIRA
ABOU EL HASSEN,CHLEF
EL MADANIA,ALGER
BOUIRA,BOUIRA
BOUKANEFIS,SIDI-BELABBES
LABIODH MEDJADJA,CHLEF
EL GUETTAR,RELIZANE
TAHER,JIJEL
OULED YAICH,RELIZANE
DJELIDA,AIN-DEFLA
BENI DERGOUN,RELIZANE
NEDROMA,TLEMCEN
MAZOUNA,RELIZANE
TIMIZART,TIZI-OUZOU
MCHEDALLAH,BOUIRA
EL BIAR,ALGER
BENI MOUHLI,SETIF
KAIS,KHENCHELA
AIN SOLTANE,AIN-DEFLA
DOUAOUDA,TIPAZA
NEZLA,TOUGGOURT
BESBES,EL-TARF
CHERAGA,ALGER
EL IDRISSIA,DJELFA
ADRAR,ADRAR
METLILI,GHARDAIA
CHETTIA,CHLEF
SIGUS,OUM EL-BOUAGHI
EL GHOMRI,MASCARA
DJEBEL MESSAAD,MSILA
BAYADHA,EL-OUED
SI MUSTAPHA,BOUMERDES
COLLO,SKIKDA
AIN EL MELH,MSILA
CHORFA,BOUIRA
AIT BOUADOU,TIZI-OUZOU
EL MGHAIR,EL-OUED
OULED SLAMA,BLIDA
SOUK EL TENINE,TIZI-OUZOU
GHASSOUL,EL-BAYADH
DIDOUCHE MOURAD,CONSTANTINE
AIN BENIAN,ALGER
HAD SAHARY,DJELFA
REGUIBA,EL-OUED
OULED SABOR,SETIF
BOUGTOUB,EL-BAYADH
AKBOU,BEJAIA
HASSI RMEL,LAGHOUAT
EL MOURADIA,ALGER
EL KSEUR,BEJAIA
DRARIA,ALGER
SIDI MHAMED,ALGER
BOUDJELLIL,BEJAIA
BERRAHEL,ANNABA
DAR CHIOUKH,DJELFA
BETHIOUA,ORAN
AIN BESSAM,BOUIRA
OULHACA GHERRABA,AIN-TEMOUCHENT
ZIGHOUD YOUCEF,CONSTANTINE
GUELLAL,SETIF
ATH MANSOUR,BOUIRA
ROUACHED,MILA
BENI AMRANE,BOUMERDES
SOUR EL GHOZLANE,BOUIRA
SALAH BEY,SETIF
SABRA,TLEMCEN
HASNAOUA,BORDJ-BOU-ARRERIDJ
MESSAAD,DJELFA
BOUGHZOUL,MEDEA
BOUCAID,TISSEMSILT
ZEMMOURA,RELIZANE
DRAA EL MIZAN,TIZI-OUZOU
CHLEF,TISSEMSILT
OULED FARES,CHLEF
ZAHANA,MASCARA
MAATKA,TIZI-OUZOU
DAMOUS,TIPAZA
SIDI LAHCENE,SIDI-BELABBES
EL EULMA,SETIF
SIDI KHALED,SIDI-BELABBES
EL GAADA,MASCARA
EL HACAIBA,SIDI-BELABBES
SIDI KHELIFA,MILA
OULED BRAHIM,MEDEA
LARBATACHE,BOUMERDES
MILA,MILA
MDAOUROUCHE,SOUK-AHRAS
AIN FERAH,MASCARA
AIN-TEMOUCHENT,AIN-TEMOUCHENT
AIN FAKROUN,OUM EL-BOUAGHI
STIDIA,MOSTAGANEM
STITTEN,EL-BAYADH
SIDI MOUSSA,ALGER
CHELGHOUM LAID,MILA
AIN YAGOUT,BATNA
BOUFATIS,ORAN
OULED BOUGHALEM,MOSTAGANEM
SIDI EMBAREK,BORDJ-BOU-ARRERIDJ
HAMADIA,TIARET
DRAA ESSMAR,MEDEA
SIDI AKKACHA,CHLEF
HENAYA,TLEMCEN
RAMDANE DJAMEL,SKIKDA
SIDI KADA,MASCARA
MANSOURAH,TLEMCEN
TIZI GHENIF,TIZI-OUZOU
BACH DJERRAH,ALGER
CHIFFA,BLIDA
BOUNOURA,GHARDAIA
AGHNI GOUGHRAN,TIZI-OUZOU
TOUDJA,BEJAIA
AIN CHERCHAR,SKIKDA
LES EUCALYPTUS,ALGER
MOUADJEBAR,DJELFA
KERKERA,SKIKDA
BEN BADIS,CONSTANTINE
BOUTLELIS,ORAN
AFIR,BOUMERDES
AIN TEDLES,MOSTAGANEM
DREAN,EL-TARF
DJENIEN BOUREZG,NAAMA
AIT SMAIL,BEJAIA
SOUAHLIA,TLEMCEN
TEXENNA,JIJEL
ZMALET EMIR ABDELKADER,TIARET
BOUMAHRA AHMED,GUELMA
MAHDIA,TIARET
TIMIMOUN,TIMIMOUN
AIN  BIYA,ORAN
ROUIBA,ALGER
GHRISS,MASCARA
ZERDEZAS,SKIKDA
DJISR KSENTINA,ALGER
MEDIOUNA,RELIZANE
AZZABA,SKIKDA
BORDJ EMIR KHALED,AIN-DEFLA
AIN MERANE,CHLEF
ENSIGHA,KHENCHELA
HAMMA,SETIF
HADJADJ,MOSTAGANEM
SIDI MEZGHICHE,SKIKDA
MARHOUM,SIDI-BELABBES
GDYEL,ORAN
TAMACINE,TOUGGOURT
TLATET ED DOUAIR,MEDEA
BOUTALEB,SETIF
SIDI YACOUB,SIDI-BELABBES
TEBESBEST,TOUGGOURT
OULED SAID,TIMIMOUN
MEDRISSA,TIARET
BAINS ROMAINS,ALGER
TIZI RACHED,TIZI-OUZOU
OULED AHMED TIMI,ADRAR
BELKHEIR,GUELMA
OUADHIA,TIZI-OUZOU
OUAMRI,MEDEA
TASSALA EL MERDJA,ALGER
HAMADI KROUMA,SKIKDA
AIN ABID,CONSTANTINE
OUED EL MA,BATNA
TADJENA,CHLEF
SEDRAIA,MEDEA
AIN BOUZIANE,SKIKDA
GUEMAR,EL-OUED
ABADLA,BECHAR
DJEMAA BENI HABIBI,JIJEL
ABI YOUCEF,TIZI-OUZOU
ACHAACHA,MOSTAGANEM
AZAZGA,TIZI-OUZOU
TAKHMARET,TIARET
INZEGMIR,ADRAR
EL FEIDH,BISKRA
MEROUANA,BATNA
BENI OUARSOUS,TLEMCEN
EL ACHOUR,ALGER
AIN EL HADID,TIARET
MEFTAH,BLIDA
TAOURA,SOUK-AHRAS
BOUTELDJA,EL-TARF
SIDI MHAMED BEN ALI,RELIZANE
AIN KERMA,ORAN
MERSA BEN MHIDI,TLEMCEN
TAMALAHT,TISSEMSILT
SAYADA,MOSTAGANEM
BIR MOKADEM,TEBESSA
SEBAINE,TIARET
HASSI BOUNIF,ORAN
AIN TOUILA,KHENCHELA
SIDI AMAR,TIPAZA
OUGHLAL,BISKRA
BENI RACHED,CHLEF
BOUZAREAH,ALGER
BOUGARA,BLIDA
DOUCEN,OULED DJELLAL
MERS EL KEBIR,ORAN
OULED DJELLAL,OULED DJELLAL
AIN TOLBA,AIN-TEMOUCHENT
EL MARSA,ALGER
MATMORE,MASCARA
EL ANCOR,ORAN
IFERHOUNENE,TIZI-OUZOU
GHAZAOUET,TLEMCEN
TIMIAOUINE,BORDJ BADJI MOKHTAR
TAOUGRITE,CHLEF
AOMAR,BOUIRA
DHAYET BENDAHOUA,GHARDAIA
BERRIANE,GHARDAIA
HAMMAM DHALAA,MSILA
KOLEA,TIPAZA
ZITOUNA,SKIKDA
ISSER,BOUMERDES
SIDI AOUN,EL-OUED
MOUZAIA,BLIDA
BOUGUIRAT,MOSTAGANEM
SOUAGUI,MEDEA
RAS EL AIOUN,BATNA
TAMANRASSET,TAMANRASSET
IFLISSEN,TIZI-OUZOU
BOUFARIK,BLIDA
AIN TAGHROUT,BORDJ-BOU-ARRERIDJ
EL ANSEUR,BORDJ-BOU-ARRERIDJ
BOU ISMAIL,TIPAZA
OUACIF,TIZI-OUZOU
EL HARROUCH,SKIKDA
YOUB,SAIDA
BOUMERDES,BOUMERDES
MEZAGHRANE,MOSTAGANEM
BOUSSEMGHOUN,EL-BAYADH
MIHOUB,MEDEA
SOUIDANIA,ALGER
HYDRA,ALGER
MARSAT EL HADJADJ,ORAN
AIN AZAL,SETIF
TIZI NBECHAR,SETIF
EL HESSIANE,MOSTAGANEM
BELARBI,SIDI-BELABBES
EL BRAYA,ORAN
KSOUR,BORDJ-BOU-ARRERIDJ
AIN FARES,MASCARA
BOUHANIFIA,MASCARA
HAMMAM BOUHADJAR,AIN-TEMOUCHENT
BORDJ MENAIEL,BOUMERDES
DAHOUARA,GUELMA
BAB EL OUED,ALGER
TALA IFACENE,SETIF
CHIHANI,EL-TARF
BENI MAOUCHE,BEJAIA
AIN MAKHLOUF,GUELMA
AIN EL HADJAR,BOUIRA
KADIRIA,BOUIRA
AIT OUMALOU,TIZI-OUZOU
AIN TOUTA,BATNA
KHEMISTI,TIPAZA
SIDI BOUSSAID,MASCARA
BENI SNOUS,TLEMCEN
BECHLOUL,BOUIRA
OULED RABAH,JIJEL
GUELTAT SIDI SAAD,LAGHOUAT
AGHRIB,TIZI-OUZOU
EL HASSI,BATNA
KHRAISSIA,ALGER
ZENATA,TLEMCEN
MAOUSSA,MASCARA
SIDI OKBA,BISKRA
OUZERA,MEDEA
MEDJEDEL,MSILA
EL KEURT,MASCARA
BOUSSIF OULED AKSEUR,JIJEL
CHEKFA,JIJEL
SIDI NAAMANE,MEDEA
FOUKA,TIPAZA
AIT AISSA MIMOUN,TIZI-OUZOU
SIDI GHILES,TIPAZA
EL ACHIR,BORDJ-BOU-ARRERIDJ
MOHAMMADIA,ALGER
SOUMAA,BLIDA
BOGHNI,TIZI-OUZOU
AMMI MOUSSA,RELIZANE
EL HARRACH,ALGER
KHEMIS MILIANA,AIN-DEFLA
DJENDEL,AIN-DEFLA
HAMMAM NBAIL,GUELMA
EL HOCEINIA,AIN-DEFLA
BENACHIBA CHELIA,SIDI-BELABBES
AIN DEHEB,TIARET
BENI MESSOUS,ALGER
BARBOUCHE,AIN-DEFLA
NGAOUS,BATNA
CHEMINI,BEJAIA
BORDJ OMAR DRISS,ILLIZI
SIDI ALI BENYOUB,SIDI-BELABBES
OULED HADJADJ,BOUMERDES
BARBACHA,BEJAIA
ZIAMA MANSOURIA,JIJEL
OULED MOUSSA,BOUMERDES
AIN TAGOURAIT,TIPAZA
AIN NAGA,BISKRA
EL KENNAR NOUCHFI,JIJEL
TAMALOUS,SKIKDA
OUYOUN EL ASSAFIR,BATNA
GOLEA,GHARDAIA
BERRIHANE,EL-TARF
BEKKOUCHE LAKHDAR,SKIKDA
CHETMA,BISKRA
HADJ MECHRI BOUALEM,EL-BAYADH
AIN KERMA,EL-TARF
KIMIR OUED ADJOUL,JIJEL
BIR EL ATER,TEBESSA
LARBA NAIT IRATHEN,TIZI-OUZOU
HARCHOUN,CHLEF
DRAA EL KAID,BEJAIA
TOLGA,EL M'GHAÏER
MANSOURA,BORDJ-BOU-ARRERIDJ
CHERCHAR,KHENCHELA
AIN BENIAN,AIN-DEFLA
OULED ZOUAI,OUM EL-BOUAGHI
BENDJERRAH,GUELMA
KHEZARA,GUELMA
FORNAKA,MOSTAGANEM
SERIANA,BATNA
ROUINA,CHLEF
EL ATTEUF,GHARDAIA
BOUKHADRA,TEBESSA
SIDI MAAROUF,JIJEL
TAGHZOUT,EL-OUED
RAHOUIA,TIARET
TACHOUDA,SETIF
LAYOUNE,TISSEMSILT
OULED RACHED,BOUIRA
DJEBILA,EL-OUED
SOUANI,TLEMCEN
YAKOUREN,TIZI-OUZOU
TILMOUNI,SIDI-BELABBES
EL AMRA,AIN-DEFLA
EL OMARIA,MEDEA
HONAINE,TLEMCEN
EL HAMMADIA,BORDJ-BOU-ARRERIDJ
AFLOU,LAGHOUAT
FERRAOUN,BEJAIA
AIN BEIDA,OUARGLA
ZERIBET EL OUED,BISKRA
SIDI LAKHDAR,MOSTAGANEM
BENI ZID,SKIKDA
MSIRDA FOUAGA,TLEMCEN
BOUDOUAOU EL BAHRI,BOUMERDES
ZAAFRANE,DJELFA
AIN DISS,OUM EL-BOUAGHI
BENI HAOUA,CHLEF
BORDJ BOUNAAMA,TISSEMSILT
BOUINAN,BLIDA
TESSALA,SIDI-BELABBES
MESAOUD BOUDJERIOU,CONSTANTINE
TOUAHRIA,MOSTAGANEM
BENI BAHDEL,TLEMCEN
TICHI,BEJAIA
SEDJERARA,MASCARA
TALEB LARBI,EL-OUED
DAHMOUNI,TIARET
MACHRAA SFA,TIARET
ROUISSAT,OUARGLA
BOUDRIA BENI YADJIS,JIJEL
SIDI LANTRI,TISSEMSILT
FESDIS,BATNA
ZEBOUDJA,CHLEF
AKFADOU,BEJAIA
OUM TOUB,SKIKDA
MEDJANA,BORDJ-BOU-ARRERIDJ
SIDI AICH,BEJAIA
EL ABIODH SIDI CHEIKH,EL-BAYADH
OULED AMMAR,BATNA
SIDI SLIMANE,TISSEMSILT
BENSEKRANE,TLEMCEN
TALASSA,CHLEF
BORDJ BADJI MOKHTAR,BORDJ BADJI MOKHTAR
SIDI ABDELLI,TLEMCEN
OUED SEFIOUN,SIDI-BELABBES
BENI DOUALA,TIZI-OUZOU
DAHRA,CHLEF
DJENDEL SAADI MOHAMED,SKIKDA
OULED ADDI GUEBALA,MSILA
MENAA,BATNA
TADMAIT,TIZI-OUZOU
BOUCHEGOUF,GUELMA
LAHMAR,BECHAR
HASSI MAAMECHE,MOSTAGANEM
MISSERGHIN,ORAN
LIOUA,BISKRA
AIN TORKI,AIN-DEFLA
M_ZIRAA,BISKRA
BIR GHBALOU,BOUIRA
SEBDOU,TLEMCEN
FREHA,TIZI-OUZOU
SEGHOUANE,MEDEA
CHEURFA,ANNABA
SIDI AMEUR,MSILA
BOUZEGHAIA,CHLEF
EL MA LABIOD,TEBESSA
AIN BEN KHELIL,NAAMA
BEN AZZOUZ,SKIKDA
KSAR EL HIRANE,LAGHOUAT
FIL FILA,SKIKDA
BEN AKNOUN,ALGER
MEGARINE,TOUGGOURT
OULED CHEBEL,ALGER
AIN ROMANA,BLIDA
ZEROUALA,SIDI-BELABBES
TADJENANET,MILA
OUED MORRA,LAGHOUAT
OUED ATHMANIA,MILA
KHERRATA,BEJAIA
TIRMITINE,TIZI-OUZOU
OULED RECHACHE,KHENCHELA
ARZEW,ORAN
DJEMILA,SETIF
MCIF,MSILA
OUARIZANE,RELIZANE
OULED KIHAL,AIN-TEMOUCHENT
EL GUELBELKEBIR,MEDEA
EL MHIR,BORDJ-BOU-ARRERIDJ
BIR OULED KHELIFA,AIN-DEFLA
AMIZOUR,BEJAIA
AIN BEIDA HARRICHE,MILA
GOLEA,EL MENIAÂ
BREZINA,EL-BAYADH
BENI AISSI,TIZI-OUZOU
MECHROHA,SOUK-AHRAS
AIN ABESSA,SETIF
OUGBELLIL,AIN-TEMOUCHENT
TAFRAOUI,ORAN
DJMILA,JIJEL
DHALAA,OUM EL-BOUAGHI
SIDI AMRANE,EL-OUED
EL KHEMIS,DJELFA
BOUSFER,ORAN
EL HADJEB,BISKRA
KAOUS,JIJEL
HAMMAM SKHOUNA,SETIF
RAS EL MA,SIDI-BELABBES
OULED RAHMOUN,CONSTANTINE
OULED BRAHIM,SAIDA
AIN LARBI,GUELMA
KHEIR EDDINE,MOSTAGANEM
CHREA,BLIDA
MKIRA,TIZI-OUZOU
MENDES,RELIZANE
HAMMAM DEBAGH,GUELMA
HAMMAM RIGHA,AIN-DEFLA
MESSELMOUN,TIPAZA
BEN MHIDI,EL-TARF
MCID,SIDI-BELABBES
OGGAZ,MASCARA
DELLYS,BOUMERDES
FROHA,MASCARA
BOURKIKA,TIPAZA
TAZMALT,BEJAIA
EL MAHMAL,KHENCHELA
AIN FEKAN,MASCARA
KHENEG,LAGHOUAT
BENI OUNIF,BECHAR
BOUGOUS,EL-TARF
BOUHAROUN,TIPAZA
HASSI EL EUCH,DJELFA
BENI AZIZ,SETIF
EL MAGHARIA,ALGER
BEN CHOUD,BOUMERDES
RAHMANIA,ALGER
ARIB,AIN-DEFLA
DEUX BASSINS,MEDEA
SIDI MAKHLOUF,LAGHOUAT
IN GUEZZAM,IN GUEZZAM
EL MAYENE,AIN-DEFLA
BELAASSEL BOUZEGZA,RELIZANE
AIN EL HADJAR,SAIDA
ZELFANA,GHARDAIA
DJERMA,BATNA
OULED MIMOUN,TLEMCEN
AIN DJASSER,BATNA
AIN LAHDJAR,SETIF
EL ANCER,JIJEL
TIXTER,BORDJ-BOU-ARRERIDJ
LAMTAR,SIDI-BELABBES
MELLAKOU,TIARET
CHEBLI,BLIDA
BOUMEDFAA,AIN-DEFLA
EL ASSAFIA,LAGHOUAT
LAZHARIA,TISSEMSILT
BABOR,SETIF
DRAA KEBILA,SETIF
EL KARMA,ORAN
YAHIA BENI GUECHA,MILA
AIN EL ARBAA,AIN-TEMOUCHENT
OUED FRAGHA,GUELMA
GUIDJEL,SETIF
NACIRIA,BOUMERDES
BALIDAT AMEUR,TOUGGOURT
ZEGHAIA,MILA
DJINET,BOUMERDES
OUED DJER,BLIDA
AIT CHAFFAA,TIZI-OUZOU
EL DJEZIA,OUM EL-BOUAGHI
TREAT,ANNABA
EL HAMEL,MSILA
MERAHNA,SOUK-AHRAS
SIDI ABDERRAHMANE,CHLEF
ARRIS,BATNA
BRANIS,BISKRA
CHERIA,TEBESSA
BENI TAMOU,BLIDA
SOUK EL HAD,BOUMERDES
SOUK NAAMANE,OUM EL-BOUAGHI
CHETAIBI,ANNABA
MENAA,MSILA
GRAREM GOUGA,MILA
CHABET EL AMEUR,BOUMERDES
CHERCHEL,TIPAZA
BEN DAOUD,RELIZANE
TASSALA LEMTAI,MILA
MAAFA,BATNA
LICHANA,BISKRA
BELIMOUR,BORDJ-BOU-ARRERIDJ
TRIFAOU,EL-OUED
INOUGHISSENE,BATNA
MEDROUSSA,TIARET
BERRICHE,OUM EL-BOUAGHI
OUED TLELAT,ORAN
OUENOUGHA,MSILA
MIH OUENSA,EL-OUED
EL GHROUS,BISKRA
EL AOUANA,JIJEL
OUED NINI,OUM EL-BOUAGHI
BENI ZIKI,TIZI-OUZOU
MAKOUDA,TIZI-OUZOU
CHAIBA,TIPAZA
HIDOUSSA,BATNA
TERNI BENI HEDIEL,TLEMCEN
OULED SIDI BRAHIM,MSILA
SIDI SAFI,AIN-TEMOUCHENT
OUED CHAABA,BATNA
EL GUEDDID,DJELFA
MOULAY LARBI,SAIDA
BOUARFA,BLIDA
BORDJ ZEMOURA,BORDJ-BOU-ARRERIDJ
TAMLOUKA,GUELMA
ZEMMOURI,BOUMERDES
EL MADHER,BATNA
GHILASSA,BORDJ-BOU-ARRERIDJ
BOUHAMZA,BEJAIA
BERHOUM,MSILA
HAD CHEKKALA,RELIZANE
EL GHEDIR,SKIKDA
TALKHEMT,BATNA
SIDI BOUBEKEUR,SAIDA
LARBAA,TISSEMSILT
OUED EL BERDI,BOUIRA
MAADID,MSILA
SIDI MEROUANE,MILA
OUM EL ADHAIM,SOUK-AHRAS
TAOURGA,BOUMERDES
ASFOUR,EL-TARF
AIN TASSERA,BORDJ-BOU-ARRERIDJ
GOURAYA,TIPAZA
AIN ZAOUIA,TIZI-OUZOU
OULED RIAH,TLEMCEN
EL MCHIRA,MILA
AIN EL KEBIRA,SETIF
SOBHA,CHLEF
TABELBALA,BÉNI ABBÈS
KHOUBANA,MSILA
SIDI DAHO,SIDI-BELABBES
AIN ZERGA,TEBESSA
ZANA EL BEIDA,BATNA
SIDI HAMADOUCHE,SIDI-BELABBES
TINEBDAR,BEJAIA
AIN LECHIAKH,AIN-DEFLA
OULED SI SLIMANE,BATNA
LAHLEF,RELIZANE
OUED CHOULY,TLEMCEN
BOUAICHE,MEDEA
BOUSKENE,MEDEA
SIDI ALI BOUSSIDI,SIDI-BELABBES
KHADRA,MOSTAGANEM
